"system environment","test condition","cores (active)","setting up duration (milliseconds)","multiplication execution duration (milliseconds)"
"8 cores 2147 MB","1000 x 1000","7","36","1277"
"8 cores 2147 MB","1300 x 1300","7","47","2774"
"8 cores 2147 MB","1600 x 1600","7","48","5178"
"8 cores 2147 MB","1900 x 1900","7","90","8879"
"8 cores 2147 MB","2200 x 2200","7","102","14037"
"8 cores 2147 MB","2500 x 2500","7","122","20345"
"8 cores 2147 MB","2800 x 2800","7","171","28708"
"8 cores 2147 MB","3100 x 3100","7","183","38865"
"8 cores 2147 MB","3400 x 3400","7","325","50613"
"8 cores 2147 MB","3700 x 3700","7","268","65006"
"8 cores 2147 MB","4000 x 4000","7","320","82238"
"8 cores 2147 MB","4300 x 4300","7","432","101560"
"8 cores 2147 MB","4600 x 4600","7","591","124524"
"8 cores 2147 MB","4900 x 4900","7","627","150364"
"8 cores 2147 MB","5200 x 5200","7","657","179393"
"8 cores 2147 MB","5500 x 5500","7","743","219377"
"8 cores 2147 MB","5800 x 5800","7","676","255045"
